Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
36,4.073000,262144.000000,88184.562283,48969.000000
36,4.639000,32768.000000,43669.757899,25869.000000
36,5.649000,4096.000000,45411.350850,14130.000000
36,7.918000,512.000000,55823.279669,13383.000000
36,16.772000,64.000000,45390.686897,6328.000000
36,30.000000,6.000000,74843.637819,5161.000000
36,30.000000,9.000000,55053.390631,3057.000000
36,30.000000,12.000000,44802.241730,4333.000000
36,30.000000,15.000000,40896.225559,7580.000000
36,30.000000,18.000000,51133.271742,8009.000000
