Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
28,4.073000,262144.000000,104546.543013,76795.000000
28,4.639000,32768.000000,140143.441880,85980.000000
28,5.649000,4096.000000,1157867.600535,305383.000000
28,7.918000,512.000000,2363840.725121,280391.000000
28,16.772000,64.000000,6188499.011370,301320.000000
28,30.000000,6.000000,11413749.150531,264224.000000
28,30.000000,9.000000,8437471.093721,305196.000000
28,30.000000,12.000000,7099507.820268,306679.000000
28,30.000000,15.000000,5979240.159686,305891.000000
28,30.000000,18.000000,5535456.229225,301820.000000
