Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
34,4.073000,262144.000000,59393.914629,33897.000000
34,4.639000,32768.000000,219305.689247,138793.000000
34,5.649000,4096.000000,122555.561946,56261.000000
34,7.918000,512.000000,94154.017232,19182.000000
34,16.772000,64.000000,65485.163266,10059.000000
34,30.000000,6.000000,126789.430360,8099.000000
34,30.000000,9.000000,69789.743688,4233.000000
34,30.000000,12.000000,72491.648836,6552.000000
34,30.000000,15.000000,64926.601443,10006.000000
34,30.000000,18.000000,99066.031232,13190.000000
