Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
26,4.073000,262144.000000,558678.740990,247508.000000
26,4.639000,32768.000000,462371.224243,184077.000000
26,5.649000,4096.000000,1172158.756660,238349.000000
26,7.918000,512.000000,3874689.464760,315450.000000
26,16.772000,64.000000,9169920.892837,305033.000000
26,30.000000,6.000000,11760460.057045,267456.000000
26,30.000000,9.000000,12135381.834288,266090.000000
26,30.000000,12.000000,9458183.416157,303361.000000
26,30.000000,15.000000,9608234.648084,308316.000000
26,30.000000,18.000000,8007184.499623,302688.000000
