Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
34,4.073000,262144.000000,407381.538234,373422.000000
34,4.639000,32768.000000,359792.784162,251187.000000
34,5.649000,4096.000000,154208.151088,71007.000000
34,7.918000,512.000000,68977.155863,14960.000000
34,16.772000,64.000000,100012.501354,25285.000000
34,30.000000,6.000000,127872.698650,6825.000000
34,30.000000,9.000000,78752.648140,4482.000000
34,30.000000,12.000000,65252.344203,3738.000000
34,30.000000,15.000000,97395.021526,13196.000000
34,30.000000,18.000000,100347.584655,11560.000000
