Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
26,4.073000,262144.000000,213293.757576,130549.000000
26,4.639000,32768.000000,789071.522588,282568.000000
26,5.649000,4096.000000,1338641.816270,277722.000000
26,7.918000,512.000000,3512327.489500,292517.000000
26,16.772000,64.000000,9363795.602131,303540.000000
26,30.000000,6.000000,12019136.899477,272960.000000
26,30.000000,9.000000,11848770.008931,304219.000000
26,30.000000,12.000000,10457865.586193,300867.000000
26,30.000000,15.000000,8794504.454778,302239.000000
26,30.000000,18.000000,7865998.334349,305803.000000
