Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
36,4.073000,262144.000000,36396.696073,13056.000000
36,4.639000,32768.000000,94408.151142,48467.000000
36,5.649000,4096.000000,74986.211473,22692.000000
36,7.918000,512.000000,73126.955666,14885.000000
36,16.772000,64.000000,42913.915680,5381.000000
36,30.000000,6.000000,51436.009575,2633.000000
36,30.000000,9.000000,48305.704829,3143.000000
36,30.000000,12.000000,56015.186842,10445.000000
36,30.000000,15.000000,50357.689184,7464.000000
36,30.000000,18.000000,55687.310646,7431.000000
