Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
40,4.073000,262144.000000,73320.760893,39387.000000
40,4.639000,32768.000000,108467.188864,87485.000000
40,5.649000,4096.000000,102177.333798,56758.000000
40,7.918000,512.000000,35518.119770,9292.000000
40,16.772000,64.000000,25668.064204,3040.000000
40,30.000000,6.000000,36223.547190,2709.000000
40,30.000000,9.000000,28917.406765,2205.000000
40,30.000000,12.000000,23689.281015,1396.000000
40,30.000000,15.000000,29818.521928,3544.000000
40,30.000000,18.000000,34515.281731,4656.000000
