Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
40,4.073000,262144.000000,96431.040817,78751.000000
40,4.639000,32768.000000,123792.421674,68857.000000
40,5.649000,4096.000000,68718.628974,21803.000000
40,7.918000,512.000000,51694.704400,13942.000000
40,16.772000,64.000000,26734.338013,2198.000000
40,30.000000,6.000000,28876.324818,2540.000000
40,30.000000,9.000000,33072.033200,2478.000000
40,30.000000,12.000000,25105.235569,1350.000000
40,30.000000,15.000000,24189.090185,2068.000000
40,30.000000,18.000000,29435.705376,4126.000000
