Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
32,4.073000,262144.000000,96414.553155,78856.000000
32,4.639000,32768.000000,164762.229570,138761.000000
32,5.649000,4096.000000,198369.182460,83779.000000
32,7.918000,512.000000,180781.074886,31500.000000
32,16.772000,64.000000,166869.784407,33331.000000
32,30.000000,6.000000,229502.022035,10728.000000
32,30.000000,9.000000,217079.304078,11343.000000
32,30.000000,12.000000,290881.810442,54174.000000
32,30.000000,15.000000,301302.476794,54314.000000
32,30.000000,18.000000,195844.668896,24992.000000
