Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,555711.872787,272645.000000
30,4.639000,32768.000000,384908.731097,248548.000000
30,5.649000,4096.000000,872038.448364,273172.000000
30,7.918000,512.000000,269078.367271,48837.000000
30,16.772000,64.000000,1592348.765499,234912.000000
30,30.000000,6.000000,2856652.009217,69795.000000
30,30.000000,9.000000,3720584.857489,261537.000000
30,30.000000,12.000000,1806686.308160,295616.000000
30,30.000000,15.000000,1704091.554871,241315.000000
30,30.000000,18.000000,3177523.705535,283770.000000
