Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
24,4.073000,262144.000000,810568.524198,334108.000000
24,4.639000,32768.000000,568361.597803,200846.000000
24,5.649000,4096.000000,2144161.916136,283782.000000
24,7.918000,512.000000,4092447.834119,294191.000000
24,16.772000,64.000000,10641754.368297,299091.000000
24,30.000000,6.000000,13284871.756139,304568.000000
24,30.000000,9.000000,12582396.962759,265853.000000
24,30.000000,12.000000,11983421.737486,306252.000000
24,30.000000,15.000000,10898265.542576,302869.000000
24,30.000000,18.000000,11102062.059518,309736.000000
