Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
24,4.073000,262144.000000,518315.809654,233633.000000
24,4.639000,32768.000000,619963.698443,212019.000000
24,5.649000,4096.000000,1725176.892263,282842.000000
24,7.918000,512.000000,4343669.604750,287660.000000
24,16.772000,64.000000,10496790.846098,299682.000000
24,30.000000,6.000000,13208233.453902,278535.000000
24,30.000000,9.000000,12805888.998158,265390.000000
24,30.000000,12.000000,12069721.696144,300792.000000
24,30.000000,15.000000,11138462.605159,303407.000000
24,30.000000,18.000000,10725705.959933,305717.000000
