Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
28,4.073000,262144.000000,384469.560353,274511.000000
28,4.639000,32768.000000,199457.523493,113627.000000
28,5.649000,4096.000000,1150419.331989,299981.000000
28,7.918000,512.000000,2426560.998616,287287.000000
28,16.772000,64.000000,4214432.450903,300846.000000
28,30.000000,6.000000,11085272.195891,249185.000000
28,30.000000,9.000000,7605773.054063,304817.000000
28,30.000000,12.000000,4594317.013848,293689.000000
28,30.000000,15.000000,7448985.492062,300766.000000
28,30.000000,18.000000,6094442.503874,304767.000000
