Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
32,4.073000,262144.000000,362200.611004,349307.000000
32,4.639000,32768.000000,256796.125553,146394.000000
32,5.649000,4096.000000,372950.677787,142647.000000
32,7.918000,512.000000,360996.862179,104978.000000
32,16.772000,64.000000,215789.142614,49704.000000
32,30.000000,6.000000,272614.008239,12641.000000
32,30.000000,9.000000,372032.318271,42764.000000
32,30.000000,12.000000,213910.627882,30193.000000
32,30.000000,15.000000,171659.945506,33718.000000
32,30.000000,18.000000,249474.075842,43032.000000
