Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
28,4.073000,262144.000000,555801.415212,273125.000000
28,4.639000,32768.000000,441395.400747,262450.000000
28,5.649000,4096.000000,1060321.800556,305922.000000
28,7.918000,512.000000,2518176.321878,292500.000000
28,16.772000,64.000000,5579246.339850,299428.000000
28,30.000000,6.000000,11455800.057728,270546.000000
28,30.000000,9.000000,7248707.851753,202323.000000
28,30.000000,12.000000,6350317.383216,294729.000000
28,30.000000,15.000000,5313303.799112,288553.000000
28,30.000000,18.000000,5662384.662767,304138.000000
