Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
22,4.073000,262144.000000,858178.374873,272804.000000
22,4.639000,32768.000000,1319880.693835,269907.000000
22,5.649000,4096.000000,2152481.150300,283229.000000
22,7.918000,512.000000,5504706.261278,296739.000000
22,16.772000,64.000000,11594630.515286,306089.000000
22,30.000000,6.000000,14185855.802338,278308.000000
22,30.000000,9.000000,13147801.380836,304916.000000
22,30.000000,12.000000,12659142.399171,304737.000000
22,30.000000,15.000000,12364194.299720,305428.000000
22,30.000000,18.000000,11784926.401789,303644.000000
