Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
36,4.073000,262144.000000,79559.579059
36,4.639000,32768.000000,145070.085300
36,5.649000,4096.000000,191364.512468
36,7.918000,512.000000,40659.380787
36,16.772000,64.000000,43179.450969
36,30.000000,6.000000,59732.581478
36,30.000000,9.000000,62285.295191
36,30.000000,12.000000,52097.384493
36,30.000000,15.000000,45658.535577
36,30.000000,18.000000,46680.446024
