Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
28,4.073000,262144.000000,247737.873988,192310.000000
28,4.639000,32768.000000,492690.988068,267925.000000
28,5.649000,4096.000000,748351.052590,276633.000000
28,7.918000,512.000000,2120353.794970,262028.000000
28,16.772000,64.000000,4843563.917954,304506.000000
28,30.000000,6.000000,11655816.810379,270035.000000
28,30.000000,9.000000,8045104.783768,183474.000000
28,30.000000,12.000000,6898356.381947,296979.000000
28,30.000000,15.000000,6060897.591909,301932.000000
28,30.000000,18.000000,5661760.455749,305108.000000
