Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
20,4.073000,262144.000000,942005.680046,214802.000000
20,4.639000,32768.000000,1617962.298771,253308.000000
20,5.649000,4096.000000,2958065.391258,281382.000000
20,7.918000,512.000000,5881088.680854,301889.000000
20,16.772000,64.000000,12524959.575984,303966.000000
20,30.000000,6.000000,15252092.786355,304798.000000
20,30.000000,9.000000,14507401.005088,306776.000000
20,30.000000,12.000000,13894358.843044,302317.000000
20,30.000000,15.000000,13368171.117353,304717.000000
20,30.000000,18.000000,12823890.326499,307164.000000
