Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
32,4.073000,262144.000000,105176.049636,71550.000000
32,4.639000,32768.000000,382891.160206,277433.000000
32,5.649000,4096.000000,368806.954914,148982.000000
32,7.918000,512.000000,114562.636985,27822.000000
32,16.772000,64.000000,162337.880629,35300.000000
32,30.000000,6.000000,175145.943399,10034.000000
32,30.000000,9.000000,256980.309366,10861.000000
32,30.000000,12.000000,325639.140580,42307.000000
32,30.000000,15.000000,174124.192093,32842.000000
32,30.000000,18.000000,289850.697296,33386.000000
