Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
40,4.073000,262144.000000,114686.796455,103437.000000
40,4.639000,32768.000000,50985.007796,42016.000000
40,5.649000,4096.000000,80784.578386,27782.000000
40,7.918000,512.000000,30761.360958,5133.000000
40,16.772000,64.000000,23858.700971,1700.000000
40,30.000000,6.000000,29909.979054,2357.000000
40,30.000000,9.000000,26037.340513,1409.000000
40,30.000000,12.000000,25839.150586,3659.000000
40,30.000000,15.000000,24899.161050,2447.000000
40,30.000000,18.000000,29665.866817,3890.000000
