Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,67675.622155,30147.000000
30,4.639000,32768.000000,373104.757213,247588.000000
30,5.649000,4096.000000,476978.487282,160371.000000
30,7.918000,512.000000,756051.308935,102745.000000
30,16.772000,64.000000,2784588.159098,266226.000000
30,30.000000,6.000000,2825321.085167,72099.000000
30,30.000000,9.000000,1930457.758429,272257.000000
30,30.000000,12.000000,2757485.090700,283816.000000
30,30.000000,15.000000,3252377.578491,302440.000000
30,30.000000,18.000000,3858116.292828,302716.000000
