Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
26,4.073000,262144.000000,89603.346333,73811.000000
26,4.639000,32768.000000,777706.522957,286223.000000
26,5.649000,4096.000000,1169040.427773,264900.000000
26,7.918000,512.000000,3063748.312352,291856.000000
26,16.772000,64.000000,8482525.793683,304884.000000
26,30.000000,6.000000,12588553.530642,278545.000000
26,30.000000,9.000000,12019281.519947,266888.000000
26,30.000000,12.000000,9532507.402417,304608.000000
26,30.000000,15.000000,9216051.501245,305969.000000
26,30.000000,18.000000,9335168.031976,308208.000000
