Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
24,4.073000,262144.000000,551588.805164,255823.000000
24,4.639000,32768.000000,1000364.649320,327684.000000
24,5.649000,4096.000000,1826291.441769,288472.000000
24,7.918000,512.000000,4172631.573642,298484.000000
24,16.772000,64.000000,10588437.636031,301837.000000
24,30.000000,6.000000,13199070.808868,304623.000000
24,30.000000,9.000000,12582885.289819,266483.000000
24,30.000000,12.000000,12003109.021076,294291.000000
24,30.000000,15.000000,11714608.056861,305587.000000
24,30.000000,18.000000,10763198.949510,305219.000000
