Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,169491.183555,149700.000000
30,4.639000,32768.000000,283762.924284,147403.000000
30,5.649000,4096.000000,446852.135426,238660.000000
30,7.918000,512.000000,1834324.238504,279257.000000
30,16.772000,64.000000,1903529.916160,300121.000000
30,30.000000,6.000000,4008834.624300,108759.000000
30,30.000000,9.000000,793165.673605,120422.000000
30,30.000000,12.000000,1619178.471916,268473.000000
30,30.000000,15.000000,3834079.950046,307828.000000
30,30.000000,18.000000,3051757.069262,265575.000000
