Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
40,4.073000,262144.000000,330772.408214,248968.000000
40,4.639000,32768.000000,68695.125053,57671.000000
40,5.649000,4096.000000,47899.422878,20105.000000
40,7.918000,512.000000,37720.822539,7614.000000
40,16.772000,64.000000,20010.264141,1584.000000
40,30.000000,6.000000,27593.526288,2194.000000
40,30.000000,9.000000,27301.788531,1832.000000
40,30.000000,12.000000,25236.978425,2160.000000
40,30.000000,15.000000,25575.578058,3056.000000
40,30.000000,18.000000,28490.013917,2831.000000
