Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
22,4.073000,262144.000000,675031.346117,230825.000000
22,4.639000,32768.000000,1534525.421253,270893.000000
22,5.649000,4096.000000,2370258.943410,273487.000000
22,7.918000,512.000000,5283811.249626,311656.000000
22,16.772000,64.000000,11254505.754256,301993.000000
22,30.000000,6.000000,14107509.225995,304992.000000
22,30.000000,9.000000,13792133.768926,267991.000000
22,30.000000,12.000000,12807753.392931,305178.000000
22,30.000000,15.000000,12616573.252456,304790.000000
22,30.000000,18.000000,12015980.938783,305183.000000
