arrival_rate,bp_parameter_L,bp_parameter_H,Setf,Sjf,Fcfs,Srpt,Bal,DYNAMIC_mode3_njobs100,DYNAMIC_mode6_njobs100,DYNAMIC_mode2_njobs100,DYNAMIC_mode4_njobs100,DYNAMIC_mode1_njobs100,DYNAMIC_mode5_njobs100,RR
30,16.772,64,102608768.10919479,36428458.44972782,8537519.80354195,36430542.494066484,11742767.337129353,8537520.047038602,8537520.047038602,8537520.047038602,8537520.047038602,8533034.549933042,8537520.047038602,15357510.293598145
30,7.918,512,50762985.33104048,21344904.57940721,14324319.59494855,21359801.937116925,15077818.359989285,21359801.937116925,21359801.937116925,20776189.341606874,21359801.937116925,18349835.266730297,21359801.937116925,14991415.899062702
30,5.649,4096,12498964.677123021,5529442.482268714,15563777.803854275,5566126.248406426,5566022.657898546,5566126.248406426,5566126.248406426,5566126.248406426,5566126.248406426,5089040.197573311,5566126.248406426,6843379.29090285
30,4.639,32768,7390957.846288463,3344925.4013194377,24328556.644435197,3340861.275215869,3339668.162151294,3340861.275215869,3340861.275215869,3340861.275215869,3340861.275215869,3343129.8129251576,3340861.275215869,4936950.461373195
30,4.073,262144,1619613.3945006754,11009148.851769967,16859212.08423914,993602.9090144613,993345.9030237151,993602.9090144613,993602.9090144613,993602.9090144613,993602.9090144613,994794.8599243966,993602.9090144613,1280761.4501900813
