arrival_rate,bp_parameter_L,bp_parameter_H,Setf,Sjf,Fcfs,Srpt,RMLF,Bal,RR,DYNAMIC_mode1_njobs10,DYNAMIC_mode1_njobs100,DYNAMIC_mode1_njobs500,DYNAMIC_mode1_njobs1000,DYNAMIC_mode1_njobs5000,DYNAMIC_mode1_njobs10000,DYNAMIC_mode2_njobs10,DYNAMIC_mode2_njobs100,DYNAMIC_mode2_njobs500,DYNAMIC_mode2_njobs1000,DYNAMIC_mode2_njobs5000,DYNAMIC_mode2_njobs10000,DYNAMIC_mode3_njobs10,DYNAMIC_mode3_njobs100,DYNAMIC_mode3_njobs500,DYNAMIC_mode3_njobs1000,DYNAMIC_mode3_njobs5000,DYNAMIC_mode3_njobs10000,RFdynamic_C_mode1_cp100,RFdynamic_NC_mode1_cp100,RFdynamic_C_mode1_cp500,RFdynamic_NC_mode1_cp500,RFdynamic_C_mode1_cp1000,RFdynamic_NC_mode1_cp1000,RFdynamic_C_mode1_cp5000,RFdynamic_NC_mode1_cp5000,RFdynamic_C_mode1_cp10000,RFdynamic_NC_mode1_cp10000,RFdynamic_C_mode2_cp100,RFdynamic_NC_mode2_cp100,RFdynamic_C_mode2_cp500,RFdynamic_NC_mode2_cp500,RFdynamic_C_mode2_cp1000,RFdynamic_NC_mode2_cp1000,RFdynamic_C_mode2_cp5000,RFdynamic_NC_mode2_cp5000,RFdynamic_C_mode2_cp10000,RFdynamic_NC_mode2_cp10000,RFdynamic_C_mode3_cp100,RFdynamic_NC_mode3_cp100,RFdynamic_C_mode3_cp500,RFdynamic_NC_mode3_cp500,RFdynamic_C_mode3_cp1000,RFdynamic_NC_mode3_cp1000,RFdynamic_C_mode3_cp5000,RFdynamic_NC_mode3_cp5000,RFdynamic_C_mode3_cp10000,RFdynamic_NC_mode3_cp10000
40,16.772,64,9906.135119207693,4450.018202209964,3729.1985734203,4624.625714584911,8935.578940393287,4624.625714584911,5892.350804220672,4055.8033729459817,4176.608911545346,4620.282999990369,4624.625714584911,4624.625714584911,4624.625714584911,4087.943248138359,4176.608911545346,4620.282999990369,4624.625714584911,4624.625714584911,4624.625714584911,4294.9946449326335,4176.608911545346,4620.282999990369,4624.625714584911,4624.625714584911,4624.625714584911,3837.6732534180132,3729.1985734203,4041.8685035512967,3729.1985734203,4214.936298451022,3729.1985734203,5731.253353325083,3729.1985734203,6018.383088504752,3729.1985734203,3729.1985734203,3729.1985734203,3743.6491555700036,3729.1985734203,3784.1760001353005,3729.1985734203,3891.6505495740494,3729.1985734203,4387.845484973234,3729.1985734203,3729.1985734203,3729.1985734203,3743.6491555700036,3729.1985734203,3784.1760001353005,3729.1985734203,4282.377493869498,3729.1985734203,4387.845484973234,3729.1985734203
40,7.918,512,11332.607422830812,6901.6836351719285,9082.937850717684,6265.4429212945515,9384.950772380216,6265.4429212945515,8397.741303469642,6265.785585223931,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.785585223931,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.788936758084,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,6265.4429212945515,9109.51003073162,9541.733228297677,9510.441209533867,9294.562657812363,9017.245255619922,9082.937850717684,9206.171679911255,9082.937850717684,9028.677699419777,9082.937850717684,9082.937850717684,9591.230265195389,9083.349932706546,9288.72084842687,9083.509343860444,9082.937850717684,9152.25862833869,9082.937850717684,9054.396777256892,9082.937850717684,9083.020697983684,9619.523065100473,9083.349932706546,9294.075639890178,9084.403998061733,9082.937850717684,9152.25862833869,9082.937850717684,9054.432560906287,9082.937850717684
40,5.649,4096,9798.368843843347,21472.404243586698,25226.71044746025,8247.023463044106,9824.731090467565,8247.023463044106,9314.153262642825,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,8247.023463044106,9905.19141662593,16155.600762583854,9989.602244333855,16207.702551564797,10023.989674775208,25226.71044746025,10108.55677136949,25226.71044746025,15971.81677205195,25226.71044746025,25226.64252333235,17053.019761907275,25226.741188667234,16208.916558487184,25226.73924628389,25226.71044746025,21809.822718215753,25226.71044746025,25073.72477315646,25226.71044746025,25226.64252333235,17052.622760150418,25226.851884450425,16209.498172367952,25226.73924628389,25226.71044746025,21810.065749557016,25226.71044746025,24506.790609951357,25226.71044746025
40,4.639,32768,10658.710756934912,37877.685436150925,47091.248953494534,10185.619421517771,10392.85148551638,10143.24356406766,10648.952530648261,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10188.647996667663,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10185.752696781912,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10185.619421517771,10525.63717786244,33047.82180416737,11258.639260585624,47001.55885712728,11587.154870804135,47091.248953494534,24814.7168430349,47091.248953494534,10715.77286060133,47091.248953494534,47091.248953494534,10404.603836763801,47091.26930759034,47001.55885712728,47090.913815724576,47091.248953494534,47087.00929131091,47091.248953494534,10715.77286060133,47091.248953494534,47091.263287365735,10405.819141230546,47091.26930759034,47001.55885712728,47087.16534258566,47091.248953494534,24886.97237512028,47091.248953494534,10715.35883673524,47091.248953494534
40,4.073,262144,16663.929218524663,33011.259048997206,63533.602565886344,13067.725624606603,16499.301318540733,13067.725624606603,15514.462091867703,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.726160277465,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.726160277465,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,13067.725624606603,16529.205667544946,17245.859300133467,16993.30118017097,17277.446136509876,16811.725402230433,63533.602565886344,21327.646893176003,63533.602565886344,21323.395226839464,63533.602565886344,63533.602565886344,20296.443358381784,63533.606973002876,17274.7667422747,63533.58633038119,63533.602565886344,63535.4500338197,63533.602565886344,63334.093417368815,63533.602565886344,63533.60532820407,16505.398329031625,63533.6328411968,17277.446136509876,63533.58633038119,63533.602565886344,63535.78302814879,63533.602565886344,63334.033749635746,63533.602565886344
