arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
24,"{'L': 32.3, 'H': 512}",43415475.09076754,26530774.537311025,47623780.461140916,38064855.23757185,45115551.39599474,26530774.537311025,38177059.423791066,29803784.43756437
24,"{'L': 19.7, 'H': 4096}",27269866.387026817,17084977.796937343,40495839.880932435,40014565.192074485,28208363.810156234,17084977.796937343,40584260.83767284,18176397.448452264
24,"{'L': 15.3, 'H': 32768}",18860653.34685254,11941018.823687492,31045136.72230401,36454261.41013898,19733539.098851122,11941018.823687492,37820370.07921903,12580083.354528736
24,"{'L': 13.0, 'H': 262144}",14913506.244625071,9578081.5741805,28313034.384471085,36987318.54663501,15834815.29959895,9578081.5741805,19716488.93088998,9837227.542263217
