arrival_rate,bp_parameter_L,bp_parameter_H,Setf,Sjf,Fcfs,Srpt,DYNAMIC_mode1_njobs100,DYNAMIC_mode2_njobs100,DYNAMIC_mode3_njobs100,DYNAMIC_mode4_njobs100,DYNAMIC_mode5_njobs100,Bal,RR,DYNAMIC_mode6_njobs100
24,16.772,64,11330956.457724387,5507177.546258065,3635075.3818081957,5507275.522341332,3635086.570999101,3635086.570999101,3635086.570999101,3635086.570999101,3635086.570999101,3469547.9715555166,6204358.6593699595,3635086.570999101
24,7.918,512,4622068.8692606045,2581491.9584835046,4054508.313251682,2582188.334448322,2548077.1130668316,2582188.334448322,2582188.334448322,2582188.334448322,2582188.334448322,2201271.5161608304,3746509.267047661,2582188.334448322
24,5.649,4096,1908858.2644952978,1010536.6672125262,3250308.83637786,1013687.7047616786,989384.3405658895,1013687.7047616786,1013687.7047616786,1013687.7047616786,1013687.7047616786,1013540.8159531613,1438235.5211400532,1013687.7047616786
24,4.639,32768,894144.5542483609,570149.5523886693,2253780.388494629,501786.27792816336,501786.27792816336,501786.27792816336,501786.27792816336,501786.27792816336,501786.27792816336,501712.5930630006,830720.0864178018,501786.27792816336
24,4.073,262144,457629.50981334236,2682750.9548424357,6601357.681744415,312843.71707771276,312843.71707771276,312843.71707771276,312843.71707771276,312843.71707771276,312843.71707771276,312813.82576062717,396684.58242916374,312843.71707771276
