arrival_rate,bp_parameter_L,bp_parameter_H,Setf,Sjf,Fcfs,Srpt,DYNAMIC_mode2_njobs100,DYNAMIC_mode1_njobs100,DYNAMIC_mode3_njobs100,DYNAMIC_mode4_njobs100,Bal,DYNAMIC_mode5_njobs100,RR,DYNAMIC_mode6_njobs100
28,16.772,64,7884069.176015327,3539509.4781576726,1551127.142524429,3539660.193393287,1551152.0783862555,1549573.9042398075,1551152.0783862555,1551152.0783862555,1518603.9103268501,1551183.7611324457,2735318.119524857,1551152.0783862555
28,7.918,512,2418385.329669778,1194958.0776788783,1490996.1619229608,1198079.2877080382,1198079.2877080382,1198079.2877080382,1198079.2877080382,1198079.2877080382,1114113.634753206,1198079.2877080382,1439935.1464145877,1198079.2877080382
28,5.649,4096,1351214.319320588,658286.5271741478,2440753.993941626,673933.8457994227,673933.8457994227,673933.8457994227,673933.8457994227,673933.8457994227,673640.0879386559,673933.8457994227,981157.2852249531,673933.8457994227
28,4.639,32768,440075.4042320475,674980.2104424988,2956527.829725944,372112.3444042135,372112.3444042135,372112.3444042135,372112.3444042135,372112.3444042135,372081.3497140108,372112.3444042135,493646.04650903464,372112.3444042135
28,4.073,262144,127682.30952250198,150101.49463612944,434312.4025537378,81996.540073347,81996.540073347,81996.540073347,81996.540073347,81996.540073347,81965.87743689443,81996.540073347,111773.44005174038,81996.540073347
