arrival_rate,bp_parameter_L,bp_parameter_H,Setf,Sjf,Fcfs,Srpt,DYNAMIC_mode1_njobs100,DYNAMIC_mode2_njobs100,DYNAMIC_mode3_njobs100,DYNAMIC_mode4_njobs100,RR,DYNAMIC_mode5_njobs100,Bal,DYNAMIC_mode6_njobs100
22,16.772,64,12627127.09886956,6558929.939996005,4992448.246306816,6561379.031201368,4992450.998211199,4992450.998211199,4992450.998211199,4992450.998211199,8352891.384937973,4992450.998211199,4783012.539312436,4992450.998211199
22,7.918,512,5558788.120877877,3047504.6238045315,5007496.32951508,3047758.2682552105,3047159.1271054423,3047758.2682552105,3047758.2682552105,3047758.2682552105,4470851.301456581,3055641.0957088857,2646958.6745193056,3047758.2682552105
22,5.649,4096,2171038.7613557247,1142706.3583353336,3739804.5707640927,1145280.2485885278,1145280.2485885278,1145280.2485885278,1145280.2485885278,1145280.2485885278,1715104.4929432143,1145280.2485885278,1144473.384901545,1145280.2485885278
22,4.639,32768,1407077.4100457302,695688.9643490113,5095194.678351848,701587.8658621456,701587.8658621456,701587.8658621456,701587.8658621456,701587.8658621456,1079103.8973263882,701587.8658621456,701539.3960691018,701587.8658621456
22,4.073,262144,1097935.1170492726,663644.0104039212,8597513.648058549,621301.4856927352,621301.4856927352,621301.4856927352,621301.4856927352,621301.4856927352,918674.960958989,621301.4856927352,621254.0439457919,621301.4856927352
