arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
32,"{'L': 56.3, 'H': 64}",29829249.435414612,21308543.26664615,32491420.076450568,16471687.412061796,33242216.084882773
32,"{'L': 18.9, 'H': 512}",17679760.723976158,11310695.273524523,21926505.505166776,16681483.809514338,19089319.389798265
32,"{'L': 12.4, 'H': 4096}",8946202.517398486,5862733.634618922,12034887.177943548,15705344.779169606,9943672.719607932
32,"{'L': 9.8, 'H': 32768}",4641557.115996635,3030716.735489643,6522024.797723173,13894320.099817298,5094518.527071327
32,"{'L': 8.5, 'H': 262144}",4234255.416995414,2797856.1670091264,5436011.642669467,16163648.54025526,4526127.880761545
