frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,763640.854321,305913.000000,0.000000
4,826995.470502,261305.000000,0.000000
8,612833.510791,280886.000000,0.000000
16,626258.037573,264694.000000,0.000000
32,678077.684962,159184.000000,0.000000
64,1046891.028545,279839.000000,0.000000
128,1037779.951811,251740.000000,0.000000
256,1121057.442350,292549.000000,0.000000
512,841075.258529,294451.000000,0.000000
1024,1796408.026886,306789.000000,0.000000
2048,845002.659741,264127.000000,0.000000
4096,291489.683495,98245.000000,0.000000
8192,610893.263021,174657.000000,0.000000
16384,1596916.357589,282502.000000,0.000000
32768,635981.378790,206784.000000,0.000000
65536,368305.102596,82040.000000,0.000000
