frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1990778.472600,304173.000000,0.000000
4,1332168.671266,265829.000000,0.000000
8,2040090.378752,309676.000000,0.000000
16,1140225.416378,208522.000000,0.000000
32,2045907.425648,293624.000000,0.000000
64,1392038.733688,297750.000000,0.000000
128,1674165.097725,277309.000000,0.000000
256,2466647.158590,287517.000000,0.000000
512,2121145.221413,286410.000000,0.000000
1024,1638376.452553,228352.000000,0.000000
2048,3775278.944419,299614.000000,0.000000
4096,2628418.248463,288017.000000,0.000000
8192,3770938.531406,304096.000000,0.000000
16384,3177945.433695,294230.000000,0.000000
32768,80449.011001,14333.000000,0.000000
65536,6379614.845083,282908.000000,0.000000
