frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,124719.238805,57059.000000,47.360321
4,467915.222682,239022.000000,817.357327
8,397722.383891,274777.000000,59.016947
16,414765.016546,160161.000000,89.799777
32,211481.768486,74533.000000,2162.399131
64,138381.819200,62160.000000,572.883060
128,354873.929840,163082.000000,467.098491
256,341054.928037,231130.000000,10175.855148
512,299330.302614,137321.000000,19201.808509
1024,369521.393251,196984.000000,116696.375522
2048,613604.491643,304654.000000,184286.702917
4096,1326104.082366,329404.000000,102971.063202
8192,550532.373459,221220.000000,415326.705623
16384,1029888.190574,178069.000000,875626.957711
32768,1041439.638216,271300.000000,799516.766698
65536,129915.751466,83338.000000,0.000000
