frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,551046.438369,258166.000000,89.627005
4,274491.947736,170595.000000,17.492856
8,420160.483036,166444.000000,195.202459
16,985791.532211,301926.000000,58.206529
32,1046210.711483,265147.000000,265.367669
64,1026874.991424,293679.000000,1720.195338
128,1368506.216653,297872.000000,1302.151681
256,660961.159764,231459.000000,54374.771402
512,496649.939371,193892.000000,19154.201341
1024,765431.319086,298739.000000,5654.035373
2048,910382.298837,301409.000000,116946.107909
4096,626091.185515,194795.000000,154747.225390
8192,873511.715587,306332.000000,280450.297051
16384,2523512.595594,288506.000000,653568.065784
32768,1209600.332414,220335.000000,338041.377522
65536,766190.017017,167667.000000,590019.048091
