frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,214034.037029,115858.000000,0.000000
4,275156.203864,238475.000000,0.000000
8,503569.925060,290536.000000,0.000000
16,168270.825332,101929.000000,0.000000
32,298882.072997,140996.000000,0.000000
64,131705.411958,52120.000000,0.000000
128,646586.742922,248582.000000,0.000000
256,931360.186654,301810.000000,0.000000
512,682736.787137,309061.000000,0.000000
1024,296414.435343,109478.000000,0.000000
2048,229234.664196,58061.000000,0.000000
4096,236222.949827,111883.000000,0.000000
8192,1164118.977799,365789.000000,0.000000
16384,330972.413716,122990.000000,0.000000
32768,2602916.129435,290745.000000,0.000000
65536,2672958.304008,258467.000000,0.000000
