frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,256394.884401,116956.000000,17.349352
4,309869.201527,208661.000000,55.009090
8,387922.954098,179867.000000,58.770741
16,336998.488790,210665.000000,36.972963
32,456074.974707,233723.000000,3791.857592
64,646188.703071,237464.000000,480.236400
128,128989.640832,55463.000000,90.575935
256,363527.715602,202434.000000,5208.711741
512,266122.254990,163663.000000,18234.128715
1024,148493.258177,95855.000000,3102.045454
2048,554219.466352,277391.000000,206472.131262
4096,431859.406594,231481.000000,42463.764447
8192,534928.507550,296911.000000,295607.828885
16384,739013.847175,286653.000000,253035.862302
32768,865038.961743,283460.000000,650826.502186
65536,2355107.119521,302049.000000,1528738.888032
