frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,315074.376753,270989.000000,240.389268
4,116654.963152,52680.000000,440.469068
8,618534.399806,304743.000000,62.665780
16,653824.579533,274931.000000,253.631623
32,240820.259027,99852.000000,54.138711
64,302688.842422,209978.000000,128.335498
128,454256.932954,182641.000000,1386.263683
256,77940.223306,35081.000000,356.820683
512,676908.862632,306041.000000,5307.727291
1024,398424.001910,200681.000000,19042.061417
2048,357591.865888,241449.000000,14946.546424
4096,173488.695854,105902.000000,115504.413184
8192,575780.326597,284133.000000,164098.169003
16384,613942.795570,139547.000000,552730.005573
32768,1116891.104654,158795.000000,1018105.336348
65536,226420.776193,177454.000000,28196.703034
