arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
32.0,4.073,262144,23058556.065398544
32.0,4.639,32768,2562154.260825839
32.0,5.649,4096,546792.715302609
32.0,7.918,512,147019.89318796282
32.0,16.772,64,103232.41789283055
