arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
34.0,4.073,262144,3207945.7285552695
34.0,4.639,32768,2010825.5290447255
34.0,5.649,4096,264272.04624590924
34.0,7.918,512,126339.71805809921
34.0,16.772,64,33454.2477422524
