arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
40.0,4.073,262144,614237.2420514731
40.0,4.639,32768,669760.2063298476
40.0,5.649,4096,226456.3037696235
40.0,7.918,512,42774.755031443485
40.0,16.772,64,15844.95752597652
