arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,4097135.2464821073
26.0,4.639,32768,2310399.858934163
26.0,5.649,4096,2289546.8757741125
26.0,7.918,512,2434880.3472780753
26.0,16.772,64,2595575.2041193102
