arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
30.0,4.073,262144,3988926.140718702
30.0,4.639,32768,2211055.2995578833
30.0,5.649,4096,1263583.8696620022
30.0,7.918,512,1402330.107570254
30.0,16.772,64,853288.3085387963
