arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
22.0,4.073,262144,28568512.71470834
22.0,4.639,32768,12905858.55438874
22.0,5.649,4096,12316479.164825393
22.0,7.918,512,15012894.964732552
22.0,16.772,64,13680616.819851033
