arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
20.0,4.073,262144,17435552.666787192
20.0,4.639,32768,17439551.88204634
20.0,5.649,4096,15754574.888702614
20.0,7.918,512,17182261.426539086
20.0,16.772,64,17266337.658706956
