arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
34.0,4.073,262144,515319.0450711093
34.0,4.639,32768,1938360.329535765
34.0,5.649,4096,435465.274527143
34.0,7.918,512,77526.7844038433
34.0,16.772,64,29856.156283085067
