arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
28.0,4.073,262144,5522394.565402856
28.0,4.639,32768,4627148.083635318
28.0,5.649,4096,8120238.3132955525
28.0,7.918,512,3263594.040524955
28.0,16.772,64,3966500.2741499967
