arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
20.0,4.073,262144,15275729.76259033
20.0,4.639,32768,18127626.76753121
20.0,5.649,4096,17085754.36296484
20.0,7.918,512,17249663.290587995
20.0,16.772,64,17127186.007414296
