arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,818963.035315392
40.0,4.639,32768,579213.5906485621
40.0,5.649,4096,159955.24740376603
40.0,7.918,512,35832.664497633996
40.0,16.772,64,10853.447240393256
