arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,1656362.0914473985
34.0,4.639,32768,465680.33788640896
34.0,5.649,4096,237942.07537970244
34.0,7.918,512,71489.26043819448
34.0,16.772,64,21139.024433497398
