arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
30.0,4.073,262144,2811453.090756095
30.0,4.639,32768,4606104.233691092
30.0,5.649,4096,3344711.5011861636
30.0,7.918,512,1075410.4103415587
30.0,16.772,64,1654692.2171993195
