arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
38.0,4.073,262144,459129.06267410255
38.0,4.639,32768,538177.9009899979
38.0,5.649,4096,275115.11929735885
38.0,7.918,512,50961.63974010255
38.0,16.772,64,18104.7593190299
