arrival_rate,bp_parameter_L,bp_parameter_H
32.0,4.073,262144,5481549.099180997
32.0,4.639,32768,2165580.840104105
32.0,5.649,4096,245296.77122212594
32.0,7.918,512,116293.92254541937
32.0,16.772,64,43383.13248256746
