arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,2789759.927206999
24.0,4.639,32768,4336551.781630193
24.0,5.649,4096,3561042.416749343
24.0,7.918,512,3164602.9441993195
24.0,16.772,64,3606591.015851395
