arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
26.0,4.073,262144,7610862.342326131
26.0,4.639,32768,5906691.86128293
26.0,5.649,4096,7205124.649833409
26.0,7.918,512,8041025.596959818
26.0,16.772,64,7144971.576054519
