arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
32.0,4.073,262144,38037761.83120208
32.0,4.639,32768,1561551.6791608275
32.0,5.649,4096,808333.4119810958
32.0,7.918,512,168243.72190367163
32.0,16.772,64,70185.74941539059
