arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,1627975.5817502302
28.0,4.639,32768,4136715.7393892803
28.0,5.649,4096,1837785.3743685633
28.0,7.918,512,1347901.6032656094
28.0,16.772,64,1558957.656095572
