arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,221702.02196416704
34.0,4.639,32768,790865.3886635829
34.0,5.649,4096,245957.4420972051
34.0,7.918,512,67484.78377382563
34.0,16.772,64,20089.358053457057
