arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
34.0,4.073,262144,802084.3383566344
34.0,4.639,32768,2316171.4697008077
34.0,5.649,4096,465146.04909318534
34.0,7.918,512,118059.77695218638
34.0,16.772,64,31524.895098953144
