arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
34.0,4.073,262144,13672716.6489193
34.0,4.639,32768,430674.24320592935
34.0,5.649,4096,201733.12248859878
34.0,7.918,512,97178.56243534373
34.0,16.772,64,32787.12989878803
